,Star_name,Distance,Mass,Radius
0,Sun,0.000015813,1,1
1,Sun,0.000015813,1,1
2,Sirius,0008.6,2.1,1.71
3,Sun,0.000015813,1,1
4,Sirius,0008.6,2.1,1.71
5,Canopus,0310,15,71
6,Sun,0.000015813,1,1
7,Sirius,0008.6,2.1,1.71
8,Canopus,0310,15,71
9,Alpha Centauri,0004.4,1.1,1.2
10,Sun,0.000015813,1,1
11,Sirius,0008.6,2.1,1.71
12,Canopus,0310,15,71
13,Alpha Centauri,0004.4,1.1,1.2
14,Arcturus,0037,1.1,26
15,Sun,0.000015813,1,1
16,Sirius,0008.6,2.1,1.71
17,Canopus,0310,15,71
18,Alpha Centauri,0004.4,1.1,1.2
19,Arcturus,0037,1.1,26
20,Vega,0025,2.2,2.7
21,Sun,0.000015813,1,1
22,Sirius,0008.6,2.1,1.71
23,Canopus,0310,15,71
24,Alpha Centauri,0004.4,1.1,1.2
25,Arcturus,0037,1.1,26
26,Vega,0025,2.2,2.7
27,Capella,0043,2.6,12
28,Sun,0.000015813,1,1
29,Sirius,0008.6,2.1,1.71
30,Canopus,0310,15,71
31,Alpha Centauri,0004.4,1.1,1.2
32,Arcturus,0037,1.1,26
33,Vega,0025,2.2,2.7
34,Capella,0043,2.6,12
35,Rigel,0860,23,78.9
36,Sun,0.000015813,1,1
37,Sirius,0008.6,2.1,1.71
38,Canopus,0310,15,71
39,Alpha Centauri,0004.4,1.1,1.2
40,Arcturus,0037,1.1,26
41,Vega,0025,2.2,2.7
42,Capella,0043,2.6,12
43,Rigel,0860,23,78.9
44,Procyon,0011.4,1.5,1.9
45,Sun,0.000015813,1,1
46,Sirius,0008.6,2.1,1.71
47,Canopus,0310,15,71
48,Alpha Centauri,0004.4,1.1,1.2
49,Arcturus,0037,1.1,26
50,Vega,0025,2.2,2.7
51,Capella,0043,2.6,12
52,Rigel,0860,23,78.9
53,Procyon,0011.4,1.5,1.9
54,Betelgeuse,0640[1],20,950
55,Sun,0.000015813,1,1
56,Sirius,0008.6,2.1,1.71
57,Canopus,0310,15,71
58,Alpha Centauri,0004.4,1.1,1.2
59,Arcturus,0037,1.1,26
60,Vega,0025,2.2,2.7
61,Capella,0043,2.6,12
62,Rigel,0860,23,78.9
63,Procyon,0011.4,1.5,1.9
64,Betelgeuse,0640[1],20,950
65,Achernar,0144,6.7,9.3
66,Sun,0.000015813,1,1
67,Sirius,0008.6,2.1,1.71
68,Canopus,0310,15,71
69,Alpha Centauri,0004.4,1.1,1.2
70,Arcturus,0037,1.1,26
71,Vega,0025,2.2,2.7
72,Capella,0043,2.6,12
73,Rigel,0860,23,78.9
74,Procyon,0011.4,1.5,1.9
75,Betelgeuse,0640[1],20,950
76,Achernar,0144,6.7,9.3
77,Hadar,0390,10.5,8.6
78,Sun,0.000015813,1,1
79,Sirius,0008.6,2.1,1.71
80,Canopus,0310,15,71
81,Alpha Centauri,0004.4,1.1,1.2
82,Arcturus,0037,1.1,26
83,Vega,0025,2.2,2.7
84,Capella,0043,2.6,12
85,Rigel,0860,23,78.9
86,Procyon,0011.4,1.5,1.9
87,Betelgeuse,0640[1],20,950
88,Achernar,0144,6.7,9.3
89,Hadar,0390,10.5,8.6
90,Altair,0017,1.8,1.8
91,Sun,0.000015813,1,1
92,Sirius,0008.6,2.1,1.71
93,Canopus,0310,15,71
94,Alpha Centauri,0004.4,1.1,1.2
95,Arcturus,0037,1.1,26
96,Vega,0025,2.2,2.7
97,Capella,0043,2.6,12
98,Rigel,0860,23,78.9
99,Procyon,0011.4,1.5,1.9
100,Betelgeuse,0640[1],20,950
101,Achernar,0144,6.7,9.3
102,Hadar,0390,10.5,8.6
103,Altair,0017,1.8,1.8
104,Acrux,0320,18,8.9
105,Sun,0.000015813,1,1
106,Sirius,0008.6,2.1,1.71
107,Canopus,0310,15,71
108,Alpha Centauri,0004.4,1.1,1.2
109,Arcturus,0037,1.1,26
110,Vega,0025,2.2,2.7
111,Capella,0043,2.6,12
112,Rigel,0860,23,78.9
113,Procyon,0011.4,1.5,1.9
114,Betelgeuse,0640[1],20,950
115,Achernar,0144,6.7,9.3
116,Hadar,0390,10.5,8.6
117,Altair,0017,1.8,1.8
118,Acrux,0320,18,8.9
119,Aldebaran,0065,1.5,44
120,Sun,0.000015813,1,1
121,Sirius,0008.6,2.1,1.71
122,Canopus,0310,15,71
123,Alpha Centauri,0004.4,1.1,1.2
124,Arcturus,0037,1.1,26
125,Vega,0025,2.2,2.7
126,Capella,0043,2.6,12
127,Rigel,0860,23,78.9
128,Procyon,0011.4,1.5,1.9
129,Betelgeuse,0640[1],20,950
130,Achernar,0144,6.7,9.3
131,Hadar,0390,10.5,8.6
132,Altair,0017,1.8,1.8
133,Acrux,0320,18,8.9
134,Aldebaran,0065,1.5,44
135,Antares,0600,12,680
136,Sun,0.000015813,1,1
137,Sirius,0008.6,2.1,1.71
138,Canopus,0310,15,71
139,Alpha Centauri,0004.4,1.1,1.2
140,Arcturus,0037,1.1,26
141,Vega,0025,2.2,2.7
142,Capella,0043,2.6,12
143,Rigel,0860,23,78.9
144,Procyon,0011.4,1.5,1.9
145,Betelgeuse,0640[1],20,950
146,Achernar,0144,6.7,9.3
147,Hadar,0390,10.5,8.6
148,Altair,0017,1.8,1.8
149,Acrux,0320,18,8.9
150,Aldebaran,0065,1.5,44
151,Antares,0600,12,680
152,Spica,0260,11.43,7.47
153,Sun,0.000015813,1,1
154,Sirius,0008.6,2.1,1.71
155,Canopus,0310,15,71
156,Alpha Centauri,0004.4,1.1,1.2
157,Arcturus,0037,1.1,26
158,Vega,0025,2.2,2.7
159,Capella,0043,2.6,12
160,Rigel,0860,23,78.9
161,Procyon,0011.4,1.5,1.9
162,Betelgeuse,0640[1],20,950
163,Achernar,0144,6.7,9.3
164,Hadar,0390,10.5,8.6
165,Altair,0017,1.8,1.8
166,Acrux,0320,18,8.9
167,Aldebaran,0065,1.5,44
168,Antares,0600,12,680
169,Spica,0260,11.43,7.47
170,Pollux,0034,1.9,8.8
171,Sun,0.000015813,1,1
172,Sirius,0008.6,2.1,1.71
173,Canopus,0310,15,71
174,Alpha Centauri,0004.4,1.1,1.2
175,Arcturus,0037,1.1,26
176,Vega,0025,2.2,2.7
177,Capella,0043,2.6,12
178,Rigel,0860,23,78.9
179,Procyon,0011.4,1.5,1.9
180,Betelgeuse,0640[1],20,950
181,Achernar,0144,6.7,9.3
182,Hadar,0390,10.5,8.6
183,Altair,0017,1.8,1.8
184,Acrux,0320,18,8.9
185,Aldebaran,0065,1.5,44
186,Antares,0600,12,680
187,Spica,0260,11.43,7.47
188,Pollux,0034,1.9,8.8
189,Fomalhaut,0025,1.9,1.8
190,Sun,0.000015813,1,1
191,Sirius,0008.6,2.1,1.71
192,Canopus,0310,15,71
193,Alpha Centauri,0004.4,1.1,1.2
194,Arcturus,0037,1.1,26
195,Vega,0025,2.2,2.7
196,Capella,0043,2.6,12
197,Rigel,0860,23,78.9
198,Procyon,0011.4,1.5,1.9
199,Betelgeuse,0640[1],20,950
200,Achernar,0144,6.7,9.3
201,Hadar,0390,10.5,8.6
202,Altair,0017,1.8,1.8
203,Acrux,0320,18,8.9
204,Aldebaran,0065,1.5,44
205,Antares,0600,12,680
206,Spica,0260,11.43,7.47
207,Pollux,0034,1.9,8.8
208,Fomalhaut,0025,1.9,1.8
209,Deneb,"2,600",19,203
210,Sun,0.000015813,1,1
211,Sirius,0008.6,2.1,1.71
212,Canopus,0310,15,71
213,Alpha Centauri,0004.4,1.1,1.2
214,Arcturus,0037,1.1,26
215,Vega,0025,2.2,2.7
216,Capella,0043,2.6,12
217,Rigel,0860,23,78.9
218,Procyon,0011.4,1.5,1.9
219,Betelgeuse,0640[1],20,950
220,Achernar,0144,6.7,9.3
221,Hadar,0390,10.5,8.6
222,Altair,0017,1.8,1.8
223,Acrux,0320,18,8.9
224,Aldebaran,0065,1.5,44
225,Antares,0600,12,680
226,Spica,0260,11.43,7.47
227,Pollux,0034,1.9,8.8
228,Fomalhaut,0025,1.9,1.8
229,Deneb,"2,600",19,203
230,Mimosa,0350,16,8.4
231,Sun,0.000015813,1,1
232,Sirius,0008.6,2.1,1.71
233,Canopus,0310,15,71
234,Alpha Centauri,0004.4,1.1,1.2
235,Arcturus,0037,1.1,26
236,Vega,0025,2.2,2.7
237,Capella,0043,2.6,12
238,Rigel,0860,23,78.9
239,Procyon,0011.4,1.5,1.9
240,Betelgeuse,0640[1],20,950
241,Achernar,0144,6.7,9.3
242,Hadar,0390,10.5,8.6
243,Altair,0017,1.8,1.8
244,Acrux,0320,18,8.9
245,Aldebaran,0065,1.5,44
246,Antares,0600,12,680
247,Spica,0260,11.43,7.47
248,Pollux,0034,1.9,8.8
249,Fomalhaut,0025,1.9,1.8
250,Deneb,"2,600",19,203
251,Mimosa,0350,16,8.4
252,Regulus,0077,3.8,3.1
253,Sun,0.000015813,1,1
254,Sirius,0008.6,2.1,1.71
255,Canopus,0310,15,71
256,Alpha Centauri,0004.4,1.1,1.2
257,Arcturus,0037,1.1,26
258,Vega,0025,2.2,2.7
259,Capella,0043,2.6,12
260,Rigel,0860,23,78.9
261,Procyon,0011.4,1.5,1.9
262,Betelgeuse,0640[1],20,950
263,Achernar,0144,6.7,9.3
264,Hadar,0390,10.5,8.6
265,Altair,0017,1.8,1.8
266,Acrux,0320,18,8.9
267,Aldebaran,0065,1.5,44
268,Antares,0600,12,680
269,Spica,0260,11.43,7.47
270,Pollux,0034,1.9,8.8
271,Fomalhaut,0025,1.9,1.8
272,Deneb,"2,600",19,203
273,Mimosa,0350,16,8.4
274,Regulus,0077,3.8,3.1
275,Adhara,0430,12.5,14
276,Sun,0.000015813,1,1
277,Sirius,0008.6,2.1,1.71
278,Canopus,0310,15,71
279,Alpha Centauri,0004.4,1.1,1.2
280,Arcturus,0037,1.1,26
281,Vega,0025,2.2,2.7
282,Capella,0043,2.6,12
283,Rigel,0860,23,78.9
284,Procyon,0011.4,1.5,1.9
285,Betelgeuse,0640[1],20,950
286,Achernar,0144,6.7,9.3
287,Hadar,0390,10.5,8.6
288,Altair,0017,1.8,1.8
289,Acrux,0320,18,8.9
290,Aldebaran,0065,1.5,44
291,Antares,0600,12,680
292,Spica,0260,11.43,7.47
293,Pollux,0034,1.9,8.8
294,Fomalhaut,0025,1.9,1.8
295,Deneb,"2,600",19,203
296,Mimosa,0350,16,8.4
297,Regulus,0077,3.8,3.1
298,Adhara,0430,12.5,14
299,Shaula,0700,14.5,8.8
300,Sun,0.000015813,1,1
301,Sirius,0008.6,2.1,1.71
302,Canopus,0310,15,71
303,Alpha Centauri,0004.4,1.1,1.2
304,Arcturus,0037,1.1,26
305,Vega,0025,2.2,2.7
306,Capella,0043,2.6,12
307,Rigel,0860,23,78.9
308,Procyon,0011.4,1.5,1.9
309,Betelgeuse,0640[1],20,950
310,Achernar,0144,6.7,9.3
311,Hadar,0390,10.5,8.6
312,Altair,0017,1.8,1.8
313,Acrux,0320,18,8.9
314,Aldebaran,0065,1.5,44
315,Antares,0600,12,680
316,Spica,0260,11.43,7.47
317,Pollux,0034,1.9,8.8
318,Fomalhaut,0025,1.9,1.8
319,Deneb,"2,600",19,203
320,Mimosa,0350,16,8.4
321,Regulus,0077,3.8,3.1
322,Adhara,0430,12.5,14
323,Shaula,0700,14.5,8.8
324,Castor,0052,2.8,2.4
325,Sun,0.000015813,1,1
326,Sirius,0008.6,2.1,1.71
327,Canopus,0310,15,71
328,Alpha Centauri,0004.4,1.1,1.2
329,Arcturus,0037,1.1,26
330,Vega,0025,2.2,2.7
331,Capella,0043,2.6,12
332,Rigel,0860,23,78.9
333,Procyon,0011.4,1.5,1.9
334,Betelgeuse,0640[1],20,950
335,Achernar,0144,6.7,9.3
336,Hadar,0390,10.5,8.6
337,Altair,0017,1.8,1.8
338,Acrux,0320,18,8.9
339,Aldebaran,0065,1.5,44
340,Antares,0600,12,680
341,Spica,0260,11.43,7.47
342,Pollux,0034,1.9,8.8
343,Fomalhaut,0025,1.9,1.8
344,Deneb,"2,600",19,203
345,Mimosa,0350,16,8.4
346,Regulus,0077,3.8,3.1
347,Adhara,0430,12.5,14
348,Shaula,0700,14.5,8.8
349,Castor,0052,2.8,2.4
350,Gacrux,0088,1.5,84
351,Sun,0.000015813,1,1
352,Sirius,0008.6,2.1,1.71
353,Canopus,0310,15,71
354,Alpha Centauri,0004.4,1.1,1.2
355,Arcturus,0037,1.1,26
356,Vega,0025,2.2,2.7
357,Capella,0043,2.6,12
358,Rigel,0860,23,78.9
359,Procyon,0011.4,1.5,1.9
360,Betelgeuse,0640[1],20,950
361,Achernar,0144,6.7,9.3
362,Hadar,0390,10.5,8.6
363,Altair,0017,1.8,1.8
364,Acrux,0320,18,8.9
365,Aldebaran,0065,1.5,44
366,Antares,0600,12,680
367,Spica,0260,11.43,7.47
368,Pollux,0034,1.9,8.8
369,Fomalhaut,0025,1.9,1.8
370,Deneb,"2,600",19,203
371,Mimosa,0350,16,8.4
372,Regulus,0077,3.8,3.1
373,Adhara,0430,12.5,14
374,Shaula,0700,14.5,8.8
375,Castor,0052,2.8,2.4
376,Gacrux,0088,1.5,84
377,Bellatrix,0240,8.6,5.8
378,Sun,0.000015813,1,1
379,Sirius,0008.6,2.1,1.71
380,Canopus,0310,15,71
381,Alpha Centauri,0004.4,1.1,1.2
382,Arcturus,0037,1.1,26
383,Vega,0025,2.2,2.7
384,Capella,0043,2.6,12
385,Rigel,0860,23,78.9
386,Procyon,0011.4,1.5,1.9
387,Betelgeuse,0640[1],20,950
388,Achernar,0144,6.7,9.3
389,Hadar,0390,10.5,8.6
390,Altair,0017,1.8,1.8
391,Acrux,0320,18,8.9
392,Aldebaran,0065,1.5,44
393,Antares,0600,12,680
394,Spica,0260,11.43,7.47
395,Pollux,0034,1.9,8.8
396,Fomalhaut,0025,1.9,1.8
397,Deneb,"2,600",19,203
398,Mimosa,0350,16,8.4
399,Regulus,0077,3.8,3.1
400,Adhara,0430,12.5,14
401,Shaula,0700,14.5,8.8
402,Castor,0052,2.8,2.4
403,Gacrux,0088,1.5,84
404,Bellatrix,0240,8.6,5.8
405,Elnath,0130,5.0,4.2
406,Sun,0.000015813,1,1
407,Sirius,0008.6,2.1,1.71
408,Canopus,0310,15,71
409,Alpha Centauri,0004.4,1.1,1.2
410,Arcturus,0037,1.1,26
411,Vega,0025,2.2,2.7
412,Capella,0043,2.6,12
413,Rigel,0860,23,78.9
414,Procyon,0011.4,1.5,1.9
415,Betelgeuse,0640[1],20,950
416,Achernar,0144,6.7,9.3
417,Hadar,0390,10.5,8.6
418,Altair,0017,1.8,1.8
419,Acrux,0320,18,8.9
420,Aldebaran,0065,1.5,44
421,Antares,0600,12,680
422,Spica,0260,11.43,7.47
423,Pollux,0034,1.9,8.8
424,Fomalhaut,0025,1.9,1.8
425,Deneb,"2,600",19,203
426,Mimosa,0350,16,8.4
427,Regulus,0077,3.8,3.1
428,Adhara,0430,12.5,14
429,Shaula,0700,14.5,8.8
430,Castor,0052,2.8,2.4
431,Gacrux,0088,1.5,84
432,Bellatrix,0240,8.6,5.8
433,Elnath,0130,5.0,4.2
434,Miaplacidus,0110,3.5,6.8
435,Sun,0.000015813,1,1
436,Sirius,0008.6,2.1,1.71
437,Canopus,0310,15,71
438,Alpha Centauri,0004.4,1.1,1.2
439,Arcturus,0037,1.1,26
440,Vega,0025,2.2,2.7
441,Capella,0043,2.6,12
442,Rigel,0860,23,78.9
443,Procyon,0011.4,1.5,1.9
444,Betelgeuse,0640[1],20,950
445,Achernar,0144,6.7,9.3
446,Hadar,0390,10.5,8.6
