,name,distance,mass,radius
0,SDSS J000013.54+255418.6 [de],46.1,48,0.99
1,SDSS J000013.54+255418.6 [de],46.1,48,0.99
2,2MASS J08283419-1309198,,,
3,SDSS J000013.54+255418.6 [de],46.1,48,0.99
4,2MASS J08283419-1309198,,,
5,2MASS J00040288-6410358,192,19,1.63
6,SDSS J000013.54+255418.6 [de],46.1,48,0.99
7,2MASS J08283419-1309198,,,
8,2MASS J00040288-6410358,192,19,1.63
9,LHS 102BC,,,
10,SDSS J000013.54+255418.6 [de],46.1,48,0.99
11,2MASS J08283419-1309198,,,
12,2MASS J00040288-6410358,192,19,1.63
13,LHS 102BC,,,
14,2MASS J00242463-0158201,37.7,79,1.09
15,SDSS J000013.54+255418.6 [de],46.1,48,0.99
16,2MASS J08283419-1309198,,,
17,2MASS J00040288-6410358,192,19,1.63
18,LHS 102BC,,,
19,2MASS J00242463-0158201,37.7,79,1.09
20,2MASS J00250365+4759191AB,143,,
21,SDSS J000013.54+255418.6 [de],46.1,48,0.99
22,2MASS J08283419-1309198,,,
23,2MASS J00040288-6410358,192,19,1.63
24,LHS 102BC,,,
25,2MASS J00242463-0158201,37.7,79,1.09
26,2MASS J00250365+4759191AB,143,,
27,2MASS J00274197+0503417,236,31,1.44
28,SDSS J000013.54+255418.6 [de],46.1,48,0.99
29,2MASS J08283419-1309198,,,
30,2MASS J00040288-6410358,192,19,1.63
31,LHS 102BC,,,
32,2MASS J00242463-0158201,37.7,79,1.09
33,2MASS J00250365+4759191AB,143,,
34,2MASS J00274197+0503417,236,31,1.44
35,2MASS J00275592+2219328,46.9,,
36,SDSS J000013.54+255418.6 [de],46.1,48,0.99
37,2MASS J08283419-1309198,,,
38,2MASS J00040288-6410358,192,19,1.63
39,LHS 102BC,,,
40,2MASS J00242463-0158201,37.7,79,1.09
41,2MASS J00250365+4759191AB,143,,
42,2MASS J00274197+0503417,236,31,1.44
43,2MASS J00275592+2219328,46.9,,
44,2MASSW J0030300-145033,87.2,54,0.98
45,SDSS J000013.54+255418.6 [de],46.1,48,0.99
